seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves,gate_blocked,gate_repaired
1,bookshelf_thin,2,qpPlain,1,1,0.026768,1557,15,11.2979,1007,1007,0,5.22848e-05,0.00249477,0,0,0.0110404,0,4,4,3.75,0,0,0,1,0,0,1555,531810,1555,0,1319
1,bookshelf_thin,2,qpAdaptive,1,1,0.0154276,930,15,11.3199,856,856,0,5.22848e-05,0.00249477,0,0,0.018532,0.244086,4,4,3.75,0,0,0,0.75431,0.237069,0.00862069,928,255469,904,0,904
1,bookshelf_thin,2,qpFreeGate,1,1,0.338749,35796,317,17.1164,1220,1220,0,0.00729709,0.00249477,0,0,0.0134464,0,1250,314,0.2536,0,0,0,1,0,0,35796,10711282,0,1390,0
1,bookshelf_thin,2,qpFreeEnvelope,1,1,0.0453101,2277,332,21.3376,1089,1089,0,0.00729709,0.00249477,0,0,0.212161,0.415459,1158,329,0.286701,0,0,0,0.0266393,0.782787,0.190574,2277,682197,0,1301,0
1,bookshelf_thin,2,qpEnvelope,1,1,0.0121426,699,15,11.3673,800,800,0,5.07293e-05,0.00249477,0,0,0.0250577,0.121602,4,4,3.75,0,0,0,0.878049,0.110473,0.0114778,697,191882,689,0,689
1,bookshelf_thin,2,VAMP,1,1,0.000110184,1719,15,12.8172,8,642,0,0.00275662,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,26,isSafe,1,1,0.0160107,2446,14,14.5951,9,731,0,0.00523215,0.000225597,0,0,0,0,50,10,0.28,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,26,qpFixed,1,1,0.0733479,4340,36,12.5814,888,888,0,0.000110762,0.000225597,0,0,0.011245,0,16,12,2.25,0,0,0,1,0,0,4335,1232998,3125,0,3125
1,bookshelf_thin,26,qpPlain,1,1,0.0740692,4340,36,12.5814,888,888,0,0.000110762,0.000225597,0,0,0.011245,0,16,12,2.25,0,0,0,1,0,0,4335,1482570,4335,0,3125
1,bookshelf_thin,26,qpAdaptive,1,1,0.0383544,2435,36,13.8131,821,821,0,0.00127559,0.000225597,0,0,0.0206412,0.309651,16,13,2.25,0,0,0,0.68696,0.300288,0.012752,2431,714676,2225,0,2225
1,bookshelf_thin,26,qpFreeGate,1,1,0.515523,54391,484,15.6414,1107,1107,0,0.00523215,0.000225597,0,0,0.0131843,0,2047,479,0.236444,0,0,0,1,0,0,54391,16224615,0,2265,0
1,bookshelf_thin,26,qpFreeEnvelope,1,1,0.0712842,3560,526,16.7257,857,857,0,0.00523215,0.000225597,0,0,0.201991,0.352809,2047,521,0.256961,0,0,0,0,0.787758,0.212242,3560,1085027,0,2302,0
1,bookshelf_thin,26,qpEnvelope,1,1,0.0287958,1628,33,12.5687,750,750,0,0.000342646,0.000225597,0,0,0.0300368,0.125921,16,12,2.0625,0,0,0,0.872537,0.10899,0.0184729,1624,476841,1559,0,1559
1,bookshelf_thin,26,VAMP,1,1,0.000141912,3645,15,14.5951,9,731,0,0.00523215,0.000225597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,50,isSafe,1,1,0.00947003,1454,9,9.93167,6,498,0,0.00314805,0.00249477,0,0,0,0,16,5,0.5625,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,50,qpFixed,1,1,0.0209171,1262,15,12.0706,975,975,0,0.00106974,0.00249477,0,0,0.0118702,0,4,4,3.75,0,0,0,1,0,0,1260,314153,836,0,836
1,bookshelf_thin,50,qpPlain,1,1,0.0216173,1262,15,12.0706,975,975,0,0.00106974,0.00249477,0,0,0.0118702,0,4,4,3.75,0,0,0,1,0,0,1260,430920,1260,0,836
1,bookshelf_thin,50,qpAdaptive,1,1,0.0079842,545,14,12.0694,784,784,0,0.00106974,0.00249477,0,0,0.0276202,0.416514,4,4,3.5,0,0,0,0.578269,0.399632,0.0220994,543,134858,487,0,487
