seed,scene,problem,method,eligible,solved,seconds,samples,vertices,skipped
200,shelf,2,isSafe,1,1,0.002267,1770,13,0
200,shelf,2,qpAdaptive,1,1,0.002088,553,16,0
200,shelf,3,isSafe,1,1,0.000743,635,8,0
200,shelf,3,qpAdaptive,1,1,0.000310,134,8,0
200,shelf,4,isSafe,1,1,0.000574,862,9,0
200,shelf,4,qpAdaptive,1,1,0.000323,127,7,0
0,shelf,1,qpEnvelope,1,1,0.004664,2632,13,0
0,shelf,2,qpEnvelope,1,1,0.001129,658,12,0
0,shelf,3,qpEnvelope,1,1,0.000378,195,11,0
0,shelf,4,qpEnvelope,1,1,0.000286,325,9,0
100,shelf,1,qpEnvelope,1,1,0.006409,399,10,0
100,shelf,2,qpEnvelope,1,1,0.001531,2649,27,0
100,shelf,3,qpEnvelope,1,1,0.000325,102,7,0
100,shelf,4,qpEnvelope,1,1,0.000304,515,13,0
200,shelf,1,qpEnvelope,1,1,0.003387,999,17,0
200,shelf,2,qpEnvelope,1,1,0.002122,544,16,0
200,shelf,3,qpEnvelope,1,1,0.000316,125,8,0
200,shelf,4,qpEnvelope,1,1,0.000332,117,7,0
0,shelf,1,qpFixed,1,1,0.004160,2929,12,0
0,shelf,2,qpFixed,1,1,0.001021,865,12,0
0,shelf,3,qpFixed,1,1,0.000334,232,11,0
0,shelf,4,qpFixed,1,1,0.000283,424,9,0
100,shelf,1,qpFixed,1,1,0.005592,435,10,0
100,shelf,2,qpFixed,1,1,0.001372,3005,26,0
100,shelf,3,qpFixed,1,1,0.000317,155,7,0
100,shelf,4,qpFixed,1,1,0.000326,678,13,0
200,shelf,1,qpFixed,1,1,0.003145,1070,17,0
200,shelf,2,qpFixed,1,1,0.001875,628,16,0
200,shelf,3,qpFixed,1,1,0.000300,190,8,0
200,shelf,4,qpFixed,1,1,0.000314,202,7,0
0,shelf,1,qpFreeGate,1,1,0.004070,1687,11,0
0,shelf,2,qpFreeGate,1,1,0.010763,9151,29,0
0,shelf,3,qpFreeGate,1,1,0.003338,3908,15,0
0,shelf,4,qpFreeGate,1,1,0.001089,333,7,0
100,shelf,1,qpFreeGate,1,1,0.003429,5055,20,0
100,shelf,2,qpFreeGate,1,1,0.005003,4288,21,0
100,shelf,3,qpFreeGate,1,1,0.001645,1265,11,0
100,shelf,4,qpFreeGate,1,1,0.000933,2308,15,0
200,shelf,1,qpFreeGate,1,1,0.006516,5107,23,0
200,shelf,2,qpFreeGate,1,1,0.003067,5799,21,0
200,shelf,3,qpFreeGate,1,1,0.002908,563,12,0
200,shelf,4,qpFreeGate,1,1,0.000734,641,11,0
