seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,audit_safe
1,bookshelf_tall,9,isSafe,1,1,0.00751402,8847,100,11.2204,7,563,2,-0.00224995,0.00249477,0,0,0.0,0.0,718,97,0.139276,0,0,0,False
1,bookshelf_tall,9,qpFixed,1,1,0.000559394,335,11,7.49485,484,484,1,-0.00224995,0.00249477,0,0,0.0315628,0.0,2,2,5.5,0,0,0,False
1,bookshelf_tall,9,bubbleCBF,1,1,0.000539785,270,11,8.72211,530,530,1,-0.00224995,0.00249477,0,0,0.0387245,0.133333,2,2,5.5,0,0,0,False
1,bookshelf_tall,9,qpFreeGate,1,0,5.00004,1475816,50025,0.0,0,0,0,inf,inf,0,0,0.0247457,0.0,397029,50023,0.125998,0,0,0,False
1,bookshelf_tall,9,VAMP,1,1,0.000251957,6204,34,18.8438,11,944,2,-0.00224995,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_tall,10,isSafe,1,1,0.0006885,807,12,10.493,7,526,3,-0.000302524,0.00249477,0,0,0.0,0.0,32,8,0.375,0,0,0,False
1,bookshelf_tall,10,qpFixed,1,1,0.000590713,342,10,9.08684,600,600,1,-3.43804e-05,0.00249477,0,0,0.028364,0.0,3,3,3.33333,0,0,0,False
1,bookshelf_tall,10,bubbleCBF,1,1,0.00067037,290,10,9.68666,592,592,1,-3.43804e-05,0.00249477,0,0,0.0354998,0.0551724,3,3,3.33333,0,0,0,False
1,bookshelf_tall,10,qpFreeGate,1,0,5.00001,1429334,47914,0.0,0,0,0,inf,inf,0,0,0.0247761,0.0,382905,47912,0.125133,0,0,0,False
1,bookshelf_tall,10,VAMP,1,1,9.3125e-05,2282,15,10.493,7,526,3,-0.000302524,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_tall,11,isSafe,1,1,0.0010057,1176,16,7.2768,5,365,0,0.00185386,0.00249477,0,0,0.0,0.0,56,12,0.285714,0,0,0,True
1,bookshelf_tall,11,qpFixed,1,1,0.00101082,548,16,11.4486,794,794,4,-0.000508578,0.00249477,0,0,0.0276599,0.0,4,4,4,0,0,0,False
1,bookshelf_tall,11,bubbleCBF,1,1,0.00331171,1441,30,9.57864,596,596,1,-0.000180208,0.00249477,0,0,0.0265339,0.0263706,15,13,2,0,0,0,False
1,bookshelf_tall,11,qpFreeGate,1,0,5.00001,1466555,50008,0.0,0,0,0,inf,inf,0,0,0.0251483,0.0,379209,50006,0.131875,0,0,0,False
1,bookshelf_tall,11,VAMP,1,1,0.000123121,2893,20,9.11655,6,457,0,0.00185386,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_tall,15,isSafe,1,1,0.00210138,2503,30,15.8311,9,793,0,0.00377073,0.00249477,0,0,0.0,0.0,147,27,0.204082,0,0,0,True
1,bookshelf_tall,15,qpFixed,1,1,0.000691417,390,13,10.7047,691,691,0,0.00121814,0.00249477,0,0,0.0293711,0.0,2,2,6.5,0,0,0,True
1,bookshelf_tall,15,bubbleCBF,1,1,0.00121921,562,18,12.1373,754,754,6,-0.000645134,0.00249477,0,0,0.0326449,0.0747331,4,4,4.5,0,0,0,False
1,bookshelf_tall,15,qpFreeGate,1,0,5.00003,1497334,50125,0.0,0,0,0,inf,inf,0,0,0.0242937,0.0,421167,50123,0.119015,0,0,0,False
1,bookshelf_tall,15,VAMP,1,1,4.8987e-05,647,7,9.77569,6,490,11,-0.00348847,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_tall,17,isSafe,1,1,0.00151688,1803,22,9.39008,6,471,5,-0.000982822,0.00249477,0,0,0.0,0.0,64,19,0.34375,0,0,0,False
1,bookshelf_tall,17,qpFixed,1,1,0.000525823,354,11,7.16159,419,419,0,0.000965609,0.00249477,0,0,0.0311742,0.0,2,2,5.5,0,0,0,True
1,bookshelf_tall,17,bubbleCBF,1,1,0.000413198,206,10,8.11998,436,436,0,0.000965609,0.00249477,0,0,0.058465,0.218447,2,2,5,0,0,0,True
1,bookshelf_tall,17,qpFreeGate,1,0,5.00002,1491602,51134,0.0,0,0,0,inf,inf,0,0,0.0251028,0.0,386709,51132,0.132229,0,0,0,False
1,bookshelf_tall,17,VAMP,1,1,3.8112e-05,340,7,8.32566,6,418,3,-0.00433029,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_tall,19,isSafe,1,1,0.000877951,1015,14,14.8252,9,743,0,0.00338547,0.00249477,0,0,0.0,0.0,34,10,0.411765,0,0,0,True
1,bookshelf_tall,19,qpFixed,1,1,0.000990251,558,13,8.83953,556,556,0,0.000820533,0.00249477,0,0,0.0282656,0.0,6,5,2.16667,0,0,0,True
1,bookshelf_tall,19,bubbleCBF,1,1,0.0010013,443,12,8.3281,505,505,0,0.000923285,0.00249477,0,0,0.0364196,0.0744921,5,4,2.4,0,0,0,True
1,bookshelf_tall,19,qpFreeGate,1,1,0.000531666,514,14,10.0397,627,627,0,0.00338547,0.00249477,0,0,0.0341133,0.0,34,10,0.411765,0,0,0,True
1,bookshelf_tall,19,VAMP,1,1,7.6407e-05,2244,14,14.8252,9,743,0,0.00338547,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_tall,22,isSafe,1,1,0.00808509,9350,106,13.0495,8,654,0,0.00280062,0.00249477,0,0,0.0,0.0,850,103,0.124706,0,0,0,True
1,bookshelf_tall,22,qpFixed,1,1,0.00107723,585,18,12.8818,873,873,0,9.73117e-05,0.00249477,0,0,0.0330592,0.0,4,4,4.5,0,0,0,True
1,bookshelf_tall,22,bubbleCBF,1,1,0.00122003,532,18,13.1477,814,814,0,9.09731e-05,0.00249477,0,0,0.0358431,0.0582707,4,4,4.5,0,0,0,True
1,bookshelf_tall,22,qpFreeGate,1,0,5.00002,1448928,48749,0.0,0,0,0,inf,inf,0,0,0.0247371,0.0,390103,48747,0.124964,0,0,0,False
1,bookshelf_tall,22,VAMP,1,1,0.00137899,45411,180,13.0495,8,654,0,0.00280062,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_tall,23,isSafe,1,1,0.000620439,710,11,14.3148,9,717,0,0.000582554,0.00249477,0,0,0.0,0.0,31,6,0.354839,0,0,0,True
1,bookshelf_tall,23,qpFixed,1,1,0.000426216,261,8,5.26933,323,323,0,0.000573703,0.00249477,0,0,0.0318578,0.0,2,2,4,0,0,0,True
1,bookshelf_tall,23,bubbleCBF,1,1,0.000490292,242,8,5.32571,314,314,0,0.000666593,0.00249477,0,0,0.0369556,0.140496,2,2,4,0,0,0,True
1,bookshelf_tall,23,qpFreeGate,1,1,0.00150083,1412,37,22.6069,1357,1357,0,0.00424879,0.00249477,0,0,0.0323443,0.0,103,30,0.359223,0,0,0,True
1,bookshelf_tall,23,VAMP,1,1,7.012e-05,1471,11,17.1045,10,857,0,0.000326438,0.00210328,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_tall,28,isSafe,1,1,0.00443745,5305,52,7.90807,5,397,7,-0.00341596,0.00249477,0,0,0.0,0.0,344,49,0.151163,0,0,0,False
1,bookshelf_tall,28,qpFixed,1,1,0.000276047,214,8,6.95708,422,422,0,0.00133573,0.00249477,0,0,0.0325097,0.0,1,1,8,0,0,0,True
1,bookshelf_tall,28,bubbleCBF,1,1,0.000263838,141,8,7.70826,457,457,0,0.0011865,0.00249477,0,0,0.0546685,0.283688,1,1,8,0,0,0,True
1,bookshelf_tall,28,qpFreeGate,1,0,5.00004,1475974,49890,0.0,0,0,0,inf,inf,0,0,0.0248082,0.0,394671,49888,0.126409,0,0,0,False
1,bookshelf_tall,28,VAMP,1,1,0.000704726,29452,78,7.80139,5,392,21,-0.00270254,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_tall,29,isSafe,1,1,0.000399381,470,8,8.89935,6,446,4,-0.00162158,0.00249477,0,0,0.0,0.0,14,4,0.571429,0,0,0,False
1,bookshelf_tall,29,qpFixed,1,1,0.000857061,511,13,8.1358,520,520,0,0.000548466,0.00249477,0,0,0.0312969,0.0,4,4,3.25,0,0,0,True
1,bookshelf_tall,29,bubbleCBF,1,1,0.000989767,498,13,8.96646,579,579,0,0.00136666,0.00249477,0,0,0.036316,0.0903614,5,5,2.6,0,0,0,True
1,bookshelf_tall,29,qpFreeGate,1,0,5.00002,1474478,49476,0.0,0,0,0,inf,inf,0,0,0.0244961,0.0,406431,49474,0.121733,0,0,0,False
1,bookshelf_tall,29,VAMP,1,1,5.7677e-05,1004,8,8.89935,6,446,4,-0.00162158,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_tall,33,isSafe,1,1,0.00190468,2275,21,7.76127,5,390,3,-0.00152112,0.00249477,0,0,0.0,0.0,86,18,0.244186,0,0,0,False
1,bookshelf_tall,33,qpFixed,1,1,0.00033552,229,7,6.0295,382,382,1,-0.000584279,0.00249477,0,0,0.030385,0.0,2,2,3.5,0,0,0,False
1,bookshelf_tall,33,bubbleCBF,1,1,0.000893503,440,17,7.42037,405,405,1,-0.000584279,0.00249477,0,0,0.0590905,0.156818,23,12,0.73913,0,0,0,False
1,bookshelf_tall,33,qpFreeGate,1,0,5.00004,1479006,50343,0.0,0,0,0,inf,inf,0,0,0.0249151,0.0,390747,50341,0.128838,0,0,0,False
1,bookshelf_tall,33,VAMP,1,1,9.3365e-05,2708,14,7.62466,5,383,5,-0.00358941,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_tall,36,isSafe,1,1,0.00450117,5291,62,15.5055,10,777,0,0.00121194,0.00249477,0,0,0.0,0.0,356,58,0.174157,0,0,0,True
1,bookshelf_tall,36,qpFixed,1,1,0.00179936,982,23,11.2942,784,784,10,-0.00796669,0.00249477,0,0,0.0280217,0.0,8,7,2.875,0,0,0,False
1,bookshelf_tall,36,bubbleCBF,1,1,0.00178463,811,19,11.6874,734,734,0,0.000252666,0.00249477,0,0,0.033349,0.0653514,8,7,2.375,0,0,0,True
1,bookshelf_tall,36,qpFreeGate,1,0,5.00002,1506978,51549,0.0,0,0,0,inf,inf,0,0,0.0251575,0.0,387769,51547,0.132937,0,0,0,False
1,bookshelf_tall,36,VAMP,1,1,0.000423483,13244,62,17.8547,10,894,0,0.00123421,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_tall,40,isSafe,1,1,0.00193804,2310,27,17.8909,10,896,15,-0.00235643,0.00249477,0,0,0.0,0.0,208,23,0.129808,0,0,0,False
1,bookshelf_tall,40,qpFixed,1,1,0.000742695,436,12,8.92254,531,531,0,0.000701473,0.00249477,0,0,0.0316096,0.0,4,4,3,0,0,0,True
1,bookshelf_tall,40,bubbleCBF,1,1,0.00121363,547,17,14.8427,934,934,0,0.000114189,0.00249477,0,0,0.033256,0.0274223,5,5,3.4,0,0,0,True
1,bookshelf_tall,40,qpFreeGate,1,1,0.00535042,5012,114,14.6048,855,855,0,0.00421794,0.00249477,0,0,0.0322114,0.0,498,107,0.228916,0,0,0,True
1,bookshelf_tall,40,VAMP,1,1,0.000583396,20858,74,17.0922,10,856,3,-0.000235783,0.00240229,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_tall,41,isSafe,1,1,0.000493976,559,9,10.8575,7,544,0,0.0069061,0.00249477,0,0,0.0,0.0,16,5,0.5625,0,0,0,True
1,bookshelf_tall,41,qpFixed,1,1,0.000727664,412,12,11.1012,746,746,17,-0.00360193,0.00249477,0,0,0.029147,0.0,2,2,6,0,0,0,False
1,bookshelf_tall,41,bubbleCBF,1,1,0.000751899,344,11,10.5807,690,690,14,-0.000839077,0.00249477,0,0,0.0335429,0.0465116,2,2,5.5,0,0,0,False
1,bookshelf_tall,41,qpFreeGate,1,1,0.000843257,812,23,11.2009,663,663,0,0.00689561,0.00249477,0,0,0.0329395,0.0,40,16,0.575,0,0,0,True
1,bookshelf_tall,41,VAMP,1,1,4.5162e-05,1158,9,10.8575,7,544,0,0.0069061,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_tall,42,isSafe,1,1,0.0111424,13089,145,15.9119,10,797,0,0.00306242,0.00249477,0,0,0.0,0.0,1106,141,0.131103,0,0,0,True
1,bookshelf_tall,42,qpFixed,1,1,0.000405301,268,9,6.97342,446,446,0,0.000838513,0.00249477,0,0,0.0335732,0.0,2,2,4.5,0,0,0,True
1,bookshelf_tall,42,bubbleCBF,1,1,0.00047092,235,9,7.57342,451,451,0,0.00168645,0.00249477,0,0,0.041836,0.144681,2,2,4.5,0,0,0,True
1,bookshelf_tall,42,qpFreeGate,1,1,0.000623878,581,17,10.0901,589,589,0,0.00368594,0.00249477,0,0,0.0366605,0.0,26,12,0.653846,0,0,0,True
1,bookshelf_tall,42,VAMP,1,1,4.4608e-05,785,9,10.0919,7,506,0,0.00368594,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_tall,46,isSafe,1,1,0.000562495,653,9,9.70524,6,487,1,-0.00100912,0.00249477,0,0,0.0,0.0,18,5,0.5,0,0,0,False
1,bookshelf_tall,46,qpFixed,1,1,0.000585299,418,12,9.19195,568,568,2,-0.00100912,0.00249477,0,0,0.0351241,0.0,3,3,4,0,0,0,False
1,bookshelf_tall,46,bubbleCBF,1,1,0.000586858,287,12,9.73148,579,579,2,-0.00100912,0.00249477,0,0,0.0534888,0.135889,3,3,4,0,0,0,False
1,bookshelf_tall,46,qpFreeGate,1,0,5.00001,1462265,49504,0.0,0,0,0,inf,inf,0,0,0.0249651,0.0,385091,49502,0.128551,0,0,0,False
1,bookshelf_tall,46,VAMP,1,1,7.6202e-05,1424,11,11.8029,7,592,1,-0.00100912,0.00232584,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_tall,47,isSafe,1,1,0.00154496,1766,22,15.4841,9,776,0,0.00308021,0.00249477,0,0,0.0,0.0,102,19,0.215686,0,0,0,True
1,bookshelf_tall,47,qpFixed,1,1,0.00110188,666,18,12.139,760,760,0,0.00104185,0.00249477,0,0,0.0284263,0.0,4,4,4.5,0,0,0,True
1,bookshelf_tall,47,bubbleCBF,1,1,0.000516837,231,9,9.3759,600,600,0,0.00109018,0.00249477,0,0,0.0405883,0.0995671,1,1,9,0,0,0,True
1,bookshelf_tall,47,qpFreeGate,1,1,0.00151595,1430,33,13.8852,888,888,0,0.00646405,0.00249477,0,0,0.0322066,0.0,140,29,0.235714,0,0,0,True
1,bookshelf_tall,47,VAMP,1,1,0.000178331,5756,27,13.8403,8,694,0,0.00308463,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_thin,2,isSafe,1,1,0.00231308,2632,31,16.1359,10,808,15,-0.00231763,0.00249477,0,0,0.0,0.0,170,27,0.182353,0,0,0,False
1,bookshelf_thin,2,qpFixed,1,1,0.00104085,535,15,11.1295,764,764,0,0.000115756,0.00249477,0,0,0.0274309,0.0,2,2,7.5,0,0,0,True
1,bookshelf_thin,2,bubbleCBF,1,1,0.0035883,1506,26,13.3619,939,939,3,-0.000463095,0.00249477,0,0,0.0278396,0.0385126,18,10,1.44444,0,0,0,False
1,bookshelf_thin,2,qpFreeGate,1,0,5.00005,1483224,51105,0.0,0,0,0,inf,inf,0,0,0.0253989,0.0,372943,51103,0.137032,0,0,0,False
1,bookshelf_thin,2,VAMP,1,1,0.000388755,11090,48,19.3874,12,971,15,-0.00231763,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_thin,3,isSafe,1,1,0.000267056,297,6,7.2906,5,366,2,-0.00140126,0.00249477,0,0,0.0,0.0,1,1,6,0,0,0,False
1,bookshelf_thin,3,qpFixed,1,1,0.000243372,212,8,6.7946,425,425,0,0.00144607,0.00249477,0,0,0.03205,0.0,1,1,8,0,0,0,True
1,bookshelf_thin,3,bubbleCBF,1,1,8.1142e-05,47,6,7.29368,388,388,0,0.00144607,0.00249477,0,0,0.155185,0.574468,1,1,6,0,0,0,True
1,bookshelf_thin,3,qpFreeGate,1,0,5.00001,1500585,51769,0.0,0,0,0,inf,inf,0,0,0.0254507,0.0,374033,51767,0.138408,0,0,0,False
1,bookshelf_thin,3,VAMP,1,1,3.9621e-05,245,6,7.2906,5,366,2,-0.00140126,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_thin,8,isSafe,1,1,0.00847857,9766,94,15.9773,10,800,9,-0.00094925,0.00249477,0,0,0.0,0.0,599,90,0.156928,0,0,0,False
1,bookshelf_thin,8,qpFixed,1,1,0.000309579,208,7,6.25701,375,375,0,0.000266413,0.00249477,0,0,0.0333245,0.0,2,2,3.5,0,0,0,True
1,bookshelf_thin,8,bubbleCBF,1,1,0.000258142,109,7,6.70825,386,386,11,-0.016503,0.00249477,0,0,0.0615436,0.174312,1,1,7,0,0,0,False
1,bookshelf_thin,8,qpFreeGate,1,0,5.00003,1524491,52856,0.0,0,0,0,inf,inf,0,0,0.0255201,0.0,378417,52854,0.139677,0,0,0,False
1,bookshelf_thin,8,VAMP,1,1,0.00157622,45371,145,21.8305,13,1093,9,-0.00094925,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_thin,9,isSafe,1,1,0.000780399,893,12,10.3308,7,518,0,0.00227968,0.00249477,0,0,0.0,0.0,20,8,0.6,0,0,0,True
1,bookshelf_thin,9,qpFixed,1,1,0.00019329,161,7,6.15885,442,442,0,0.0015937,0.00249477,0,0,0.0382537,0.0,1,1,7,0,0,0,True
1,bookshelf_thin,9,bubbleCBF,1,1,7.9205e-05,47,6,6.78415,371,371,0,0.00227968,0.00249477,0,0,0.144344,0.553191,1,1,6,0,0,0,True
1,bookshelf_thin,9,qpFreeGate,1,0,5.00003,1487867,51393,0.0,0,0,0,inf,inf,0,0,0.025619,0.0,365413,51391,0.140644,0,0,0,False
1,bookshelf_thin,9,VAMP,1,1,0.000113883,1901,14,8.53942,6,428,0,0.00227968,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_thin,12,isSafe,1,1,0.00164229,1898,24,17.9483,10,899,0,0.00101537,0.00249477,0,0,0.0,0.0,83,19,0.289157,0,0,0,True
1,bookshelf_thin,12,qpFixed,1,1,0.00259717,1429,26,11.3844,764,764,0,0.000167533,0.00249477,0,0,0.0255538,0.0,16,14,1.625,0,0,0,True
1,bookshelf_thin,12,bubbleCBF,1,1,0.00277638,1206,26,12.7635,783,783,0,0.00101537,0.00249477,0,0,0.0289527,0.0456053,16,13,1.625,0,0,0,True
1,bookshelf_thin,12,qpFreeGate,1,0,5.00004,1479839,50993,0.0,0,0,0,inf,inf,0,0,0.0254375,0.0,369997,50991,0.13782,0,0,0,False
1,bookshelf_thin,12,VAMP,1,1,0.000161479,3584,22,12.3108,8,617,0,0.00101537,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_thin,13,isSafe,1,1,0.00507463,5851,68,9.75929,7,489,7,-0.000675651,0.00249477,0,0,0.0,0.0,364,64,0.186813,0,0,0,False
1,bookshelf_thin,13,qpFixed,1,1,0.000311537,168,7,4.67111,340,340,10,-0.00601516,0.00249477,0,0,0.0278043,0.0,1,1,7,0,0,0,False
1,bookshelf_thin,13,bubbleCBF,1,1,0.000510209,257,9,8.81694,571,571,5,-0.0156941,0.00249477,0,0,0.0346768,0.11284,2,2,4.5,0,0,0,False
1,bookshelf_thin,13,qpFreeGate,1,0,5.00003,1516788,52532,0.0,0,0,0,inf,inf,0,0,0.0254335,0.0,380127,52530,0.138196,0,0,0,False
1,bookshelf_thin,13,VAMP,1,1,0.00077075,20950,91,9.75929,7,489,7,-0.000675651,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_thin,14,isSafe,1,1,0.00314006,3618,40,11.8379,8,593,1,-0.00207985,0.00249477,0,0,0.0,0.0,248,36,0.16129,0,0,0,False
1,bookshelf_thin,14,qpFixed,1,1,0.000583919,315,12,8.72552,550,550,0,0.0016738,0.00249477,0,0,0.0295602,0.0,3,3,4,0,0,0,True
1,bookshelf_thin,14,bubbleCBF,1,1,0.000747575,304,10,9.69056,588,588,19,-0.0133164,0.00249477,0,0,0.0376193,0.0394737,4,3,2.5,0,0,0,False
1,bookshelf_thin,14,qpFreeGate,1,0,5.00005,1513861,52382,0.0,0,0,0,inf,inf,0,0,0.0255449,0.0,374081,52380,0.140028,0,0,0,False
1,bookshelf_thin,14,VAMP,1,1,0.00016824,3818,22,11.9358,7,598,0,0.00185742,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_thin,16,isSafe,1,1,0.000932868,1072,15,17.2291,10,863,1,-0.000457134,0.00249477,0,0,0.0,0.0,37,10,0.405405,0,0,0,False
1,bookshelf_thin,16,qpFixed,1,1,0.00196911,1116,26,13.8268,846,846,4,-0.00155323,0.00249477,0,0,0.0275585,0.0,10,10,2.6,0,0,0,False
1,bookshelf_thin,16,bubbleCBF,1,1,0.00223158,974,27,14.4358,896,896,14,-0.00112134,0.00249477,0,0,0.035669,0.0852156,10,10,2.7,0,0,0,False
1,bookshelf_thin,16,qpFreeGate,1,0,5.00002,1503836,51973,0.0,0,0,0,inf,inf,0,0,0.0254013,0.0,377829,51971,0.137557,0,0,0,False
1,bookshelf_thin,16,VAMP,1,1,7.666e-05,1357,13,15.7531,9,789,1,-0.000457134,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_thin,17,isSafe,1,1,0.00341398,3958,45,10.6426,7,534,0,0.00109988,0.00249477,0,0,0.0,0.0,247,41,0.182186,0,0,0,True
1,bookshelf_thin,17,qpFixed,1,1,0.00141324,769,19,11.984,818,818,45,-0.0133945,0.00249477,0,0,0.0301629,0.0,11,9,1.72727,0,0,0,False
1,bookshelf_thin,17,bubbleCBF,1,1,0.000432487,182,9,9.75853,558,558,4,-0.000467659,0.00249477,0,0,0.0591857,0.137363,3,2,3,0,0,0,False
1,bookshelf_thin,17,qpFreeGate,1,0,5.00001,1490790,51387,0.0,0,0,0,inf,inf,0,0,0.0255273,0.0,368235,51385,0.139549,0,0,0,False
1,bookshelf_thin,17,VAMP,1,1,0.00025663,7520,29,13.2733,8,665,0,0.00109988,0.00125321,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_thin,18,isSafe,1,1,0.0112782,12890,137,17.5195,10,877,0,0.000318218,0.00249477,0,0,0.0,0.0,1070,134,0.128037,0,0,0,True
1,bookshelf_thin,18,qpFixed,1,1,0.000377208,253,9,8.16075,507,507,0,0.00186362,0.00249477,0,0,0.0322559,0.0,1,1,9,0,0,0,True
1,bookshelf_thin,18,bubbleCBF,1,1,0.000390045,179,8,8.41292,504,504,0,0.0026653,0.00249477,0,0,0.0469996,0.139665,1,1,8,0,0,0,True
1,bookshelf_thin,18,qpFreeGate,1,1,0.00410844,3927,92,16.9177,1021,1021,0,0.00372468,0.00249477,0,0,0.0319306,0.0,378,86,0.243386,0,0,0,True
1,bookshelf_thin,18,VAMP,1,1,0.000842115,23210,100,15.8342,10,793,0,0.00177628,0.00212381,0,0,0.0,0.0,0,0,0,0,0,0,True
1,bookshelf_thin,19,isSafe,1,1,0.00480969,5546,65,15.7499,9,789,15,-0.00114317,0.00249477,0,0,0.0,0.0,374,62,0.173797,0,0,0,False
1,bookshelf_thin,19,qpFixed,1,1,0.00072974,462,14,9.0369,573,573,5,-0.000678647,0.00249477,0,0,0.0310114,0.0,5,5,2.8,0,0,0,False
1,bookshelf_thin,19,bubbleCBF,1,1,0.000685942,326,13,9.13707,525,525,7,-0.00131076,0.00249477,0,0,0.0445098,0.101227,5,5,2.6,0,0,0,False
1,bookshelf_thin,19,qpFreeGate,1,0,5.00002,1459993,50289,0.0,0,0,0,inf,inf,0,0,0.0254701,0.0,364201,50287,0.13808,0,0,0,False
1,bookshelf_thin,19,VAMP,1,1,0.000827106,22857,98,12.2032,8,612,14,-0.00114776,0.00249477,0,0,0.0,0.0,0,0,0,0,0,0,False
1,bookshelf_thin,20,isSafe,1,1,0.0160039,18297,160,9.35223,6,469,6,-0.000246223,0.00249477,0,0,0.0,0.0,1174,157,0.136286,0,0,0,False
1,bookshelf_thin,20,qpFixed,1,1,0.00028064,186,6,3.58841,215,215,0,0.000874097,0.00249477,0,0,0.0318355,0.0,2,2,3,0,0,0,True
1,bookshelf_thin,20,bubbleCBF,1,1,0.000205141,94,6,4.26636,238,238,0,0.000874097,0.00249477,0,0,0.0729618,0.287234,2,2,3,0,0,0,True
1,bookshelf_thin,20,qpFreeGate,1,1,0.0129254,12121,284,12.6234,787,787,0,0.00299475,0.00249477,0,0,0.0310222,0.0,1305,277,0.217625,0,0,0,True
