scene,method,eligible_runs,returned_solutions,return_rate_pct,audit_safe_solutions,audit_safe_rate_pct,unsafe_returned,returned_precision_pct,median_ms_safe,p90_ms_safe,median_samples_safe,p90_samples_safe,median_vertices_safe,median_path_length_safe,total_seconds,total_samples,safe_solutions_per_second,amortized_ms_per_safe_solution,amortized_samples_per_safe_solution
box,qpFreeGate,60,60,100.0,60,100.0,0,100.0,1.024105,3.035773,948.0,2802.0,26.5,12.9483,0.089966167,83477,666.9173757285891,1.4994361166666665,1391.2833333333333
box,VAMP,60,60,100.0,52,86.66666666666667,8,86.66666666666667,0.0511935,0.16791289999999995,1681.0,6401.999999999998,12.0,10.2905,0.004357112,164930,11934.51074932203,0.08379061538461538,3171.730769230769
cage,isSafe,60,60,100.0,40,66.66666666666667,20,66.66666666666667,42.31485000000001,264.2535000000001,45299.0,239862.60000000003,582.5,21.5384,6.6584759600000005,5989093,6.00738070397719,166.46189900000002,149727.325
cage,qpFixed,60,60,100.0,38,63.333333333333336,22,63.333333333333336,7.351545,19.872550000000004,3910.5,10522.400000000001,67.5,18.9403,0.55683231,300809,68.24316642114391,14.653481842105263,7916.026315789473
cage,bubbleCBF,60,60,100.0,38,63.333333333333336,22,63.333333333333336,8.565550000000002,19.56785000000003,3647.0,8663.40000000001,68.0,19.83475,0.62301626,271655,60.99359268729198,16.395164736842105,7148.815789473684
cage,qpFreeGate,60,60,100.0,60,100.0,0,100.0,47.9709,139.3784,39681.5,102256.00000000001,866.5,21.213549999999998,3.9781324,3048286,15.082454269244534,66.30220666666666,50804.76666666667
cage,VAMP,60,60,100.0,25,41.666666666666664,35,41.666666666666664,2.3055499999999998,23.38278000000003,86629,597844.2000000005,309,21.3915,0.918753646,21205648,27.210776369533995,36.75014584,848225.92
table_pick,isSafe,60,60,100.0,21,35.0,39,35.0,0.972844,2.4658,1088,2845,13,11.5426,0.067808721,77799,309.6946777686604,3.2289867142857145,3704.714285714286
table_pick,qpFixed,60,60,100.0,46,76.66666666666667,14,76.66666666666667,0.29898349999999996,0.40779600000000005,252.0,280.5,9.0,6.984825000000001,0.018378961,13243,2502.8618320698324,0.3995426304347826,287.89130434782606
table_pick,bubbleCBF,60,60,100.0,43,71.66666666666667,17,71.66666666666667,0.149388,0.5392864000000003,80,233.80000000000004,7,7.21604,0.018605246,8802,2311.1761059219534,0.43268013953488366,204.69767441860466
table_pick,qpFreeGate,60,33,55.0,33,55.0,0,100.0,2.4014,8.085784,2308,7522.4000000000015,57,13.7698,135.135010699,40369007,0.24420022486625817,4095.0003242121215,1223303.2424242424
table_pick,VAMP,60,60,100.0,23,38.333333333333336,37,38.333333333333336,0.08015499999999999,0.1713058,2282,5536.0,14,9.46853,0.006396636,198915,3595.6399582530566,0.2781146086956522,8648.478260869566
table_under_pick,isSafe,60,60,100.0,33,55.0,27,55.0,0.667569,1.0549979999999999,744,1182.2,11,11.7143,0.049231075,55305,670.3083367568147,1.4918507575757576,1675.909090909091
table_under_pick,qpFixed,60,60,100.0,32,53.333333333333336,28,53.333333333333336,1.120845,3.7158040000000025,631.5,2043.7000000000012,16.5,10.93185,0.102428915,58262,312.41178333286064,3.2009035937499997,1820.6875
table_under_pick,bubbleCBF,60,60,100.0,35,58.333333333333336,25,58.333333333333336,1.21692,4.477258,551,2006.6000000000001,16,11.6712,0.114450785,52103,305.80830004792017,3.2700224285714286,1488.6571428571428
table_under_pick,qpFreeGate,60,27,45.0,27,45.0,0,100.0,1.19916,7.775116000000022,1125,7176.20000000002,30,14.9413,165.138853213,48495392,0.16349877375722574,6116.253822703704,1796125.6296296297
table_under_pick,VAMP,60,60,100.0,33,55.0,27,55.0,0.057878,0.1066768,2067,4429.200000000001,11,11.7143,0.004784689,171488,6896.999993103,0.14499057575757576,5196.606060606061
